"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR026473","ERR026474","ERR026478","ERR026481","ERR026482","ERR029206","ERR029207"
"group_2788","","hypothetical protein","7","7","1","15","22","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","200","200","200","IABJFMEL_03156","FNKIIBCC_03148","KLCLGNMD_03318","LJFBHMDO_03158","FJKEEGCC_03190","LCKBFCAL_01272","GLGINFII_01441"
"rplD","","50S ribosomal protein L4","7","7","1","1","338","","","","671","671","671","IABJFMEL_01705","FNKIIBCC_01845","KLCLGNMD_00892","LJFBHMDO_02176","FJKEEGCC_01866","LCKBFCAL_00549","GLGINFII_00741"
"group_2790","","hypothetical protein","7","7","1","39","4","","","","158","158","158","IABJFMEL_03971","FNKIIBCC_03961","KLCLGNMD_03985","LJFBHMDO_03976","FJKEEGCC_03964","LCKBFCAL_03975","GLGINFII_03585"
"group_2791","","putative long-chain-fatty-acid--CoA ligase FadD23","7","7","1","8","105","","","","1754","1754","1754","IABJFMEL_01357","FNKIIBCC_01250","KLCLGNMD_01711","LJFBHMDO_01346","FJKEEGCC_01286","LCKBFCAL_01978","GLGINFII_02060"
"egtA","","Glutamate--cysteine ligase EgtA","7","7","1","7","108","","","","1298","1298","1298","IABJFMEL_00245","FNKIIBCC_02729","KLCLGNMD_00865","LJFBHMDO_00361","FJKEEGCC_00414","LCKBFCAL_00402","GLGINFII_00714"
"group_2793","","Baeyer-Villiger monooxygenase","7","7","1","12","73","","","","1574","1574","1574","IABJFMEL_00742","FNKIIBCC_00689","KLCLGNMD_01354","LJFBHMDO_00731","FJKEEGCC_00759","LCKBFCAL_01065","GLGINFII_01231"
"psd","","Phosphatidylserine decarboxylase proenzyme","7","7","1","4","83","","","","695","695","695","IABJFMEL_00943","FNKIIBCC_00470","KLCLGNMD_00439","LJFBHMDO_00549","FJKEEGCC_00680","LCKBFCAL_00811","GLGINFII_00437"
"group_2795","","hypothetical protein","7","7","1","14","41","","","","164","164","164","IABJFMEL_02345","FNKIIBCC_01914","KLCLGNMD_02848","LJFBHMDO_02286","FJKEEGCC_02428","LCKBFCAL_02907","GLGINFII_02402"
"ybdZ","","Enterobactin biosynthesis protein YbdZ","7","7","1","28","34","","","","215","215","215","IABJFMEL_01826","FNKIIBCC_01867","KLCLGNMD_02247","LJFBHMDO_02244","FJKEEGCC_01940","LCKBFCAL_02326","GLGINFII_02495"
"dnaQ","","DNA polymerase III subunit epsilon","7","7","1","7","100","","","","989","989","989","IABJFMEL_00253","FNKIIBCC_00716","KLCLGNMD_00857","LJFBHMDO_00353","FJKEEGCC_00422","LCKBFCAL_00394","GLGINFII_00706"
"rplU","","50S ribosomal protein L21","7","7","1","5","22","","","","311","311","311","IABJFMEL_01156","FNKIIBCC_01008","KLCLGNMD_01442","LJFBHMDO_01508","FJKEEGCC_00381","LCKBFCAL_02461","GLGINFII_01556"
"group_2799","","hypothetical protein","7","7","1","7","62","","","","359","359","359","IABJFMEL_00293","FNKIIBCC_00755","KLCLGNMD_00818","LJFBHMDO_00314","FJKEEGCC_00461","LCKBFCAL_00355","GLGINFII_00667"
"group_28","","hypothetical protein","7","7","1","4","145","","","","986","998","987","IABJFMEL_00983","FNKIIBCC_00426","KLCLGNMD_00483","LJFBHMDO_00505","FJKEEGCC_00636","LCKBFCAL_01635","GLGINFII_00393"
"group_2800","","Putative acyl-CoA dehydrogenase FadE17","7","7","1","17","56","","","","1133","1133","1133","IABJFMEL_01216","FNKIIBCC_01044","KLCLGNMD_01502","LJFBHMDO_02395","FJKEEGCC_02085","LCKBFCAL_01531","GLGINFII_01791"
"group_2801","","hypothetical protein","7","7","1","3","11","","","","2090","2090","2090","IABJFMEL_02558","FNKIIBCC_01426","KLCLGNMD_01812","LJFBHMDO_00612","FJKEEGCC_01535","LCKBFCAL_01876","GLGINFII_02200"
"galE_1","","UDP-glucose 4-epimerase","7","7","1","1","290","","","","1094","1094","1094","IABJFMEL_03892","FNKIIBCC_02372","KLCLGNMD_02684","LJFBHMDO_01130","FJKEEGCC_02540","LCKBFCAL_02780","GLGINFII_03939"
"group_2803","","2-methylcitrate dehydratase","7","7","1","23","44","","","","1499","1499","1499","IABJFMEL_02141","FNKIIBCC_02214","KLCLGNMD_02551","LJFBHMDO_02497","FJKEEGCC_02323","LCKBFCAL_02567","GLGINFII_02773"
"fgd2_1","","F420-dependent hydroxymycolic acid dehydrogenase","7","7","1","1","584","","","","1082","1082","1082","IABJFMEL_00104","FNKIIBCC_00120","KLCLGNMD_00047","LJFBHMDO_00154","FJKEEGCC_00009","LCKBFCAL_00436","GLGINFII_00009"
"group_2805","","hypothetical protein","7","7","1","18","36","","","","470","470","470","IABJFMEL_01301","FNKIIBCC_01195","KLCLGNMD_01656","LJFBHMDO_01411","FJKEEGCC_01222","LCKBFCAL_01922","GLGINFII_02004"
"leuD","","3-isopropylmalate dehydratase small subunit","7","7","1","13","32","","","","596","596","596","IABJFMEL_00035","FNKIIBCC_00248","KLCLGNMD_00700","LJFBHMDO_00197","FJKEEGCC_00197","LCKBFCAL_00237","GLGINFII_00553"
"group_2807","","hypothetical protein","7","7","1","1","478","","","","419","419","419","IABJFMEL_03623","FNKIIBCC_00013","KLCLGNMD_00653","LJFBHMDO_03559","FJKEEGCC_03546","LCKBFCAL_03455","GLGINFII_01192"
"group_2808","","hypothetical protein","7","7","1","10","24","","","","1307","1307","1307","IABJFMEL_00435","FNKIIBCC_00395","KLCLGNMD_01108","LJFBHMDO_01656","FJKEEGCC_01451","LCKBFCAL_00703","GLGINFII_00896"
"group_2809","","Antitoxin VapB15","7","7","1","16","30","","","","242","242","242","IABJFMEL_01696","FNKIIBCC_01735","KLCLGNMD_02171","LJFBHMDO_02115","FJKEEGCC_01808","LCKBFCAL_01740","GLGINFII_01767"
"sbnA_2","","putative siderophore biosynthesis protein SbnA","7","7","1","1","199","","","","1214","1214","1214","IABJFMEL_02752","FNKIIBCC_02684","KLCLGNMD_00025","LJFBHMDO_01069","FJKEEGCC_02603","LCKBFCAL_02872","GLGINFII_02704"
"mftF","","Putative mycofactocin biosynthesis glycosyltransferase MftF","7","7","1","1","343","","","","1412","1412","1412","IABJFMEL_01710","FNKIIBCC_01840","KLCLGNMD_00897","LJFBHMDO_02171","FJKEEGCC_01871","LCKBFCAL_00554","GLGINFII_00746"
"group_2812","","Ribonuclease VapC11","7","7","1","10","60","","","","404","404","404","IABJFMEL_00360","FNKIIBCC_00320","KLCLGNMD_01033","LJFBHMDO_01459","FJKEEGCC_01316","LCKBFCAL_00778","GLGINFII_00971"
"araQ_1","","L-arabinose transport system permease protein AraQ","7","7","1","2","315","","","","824","824","824","IABJFMEL_00632","FNKIIBCC_00581","KLCLGNMD_00349","LJFBHMDO_01949","FJKEEGCC_01694","LCKBFCAL_00039","GLGINFII_00300"
"group_2814","","hypothetical protein","7","7","1","2","248","","","","887","887","887","IABJFMEL_00916","FNKIIBCC_00888","KLCLGNMD_00278","LJFBHMDO_00962","FJKEEGCC_00839","LCKBFCAL_00109","GLGINFII_00230"
"thiO","","Glycine oxidase","7","7","1","4","167","","","","1022","1022","1022","IABJFMEL_00965","FNKIIBCC_00448","KLCLGNMD_00461","LJFBHMDO_00527","FJKEEGCC_00658","LCKBFCAL_00789","GLGINFII_00415"
"group_2816","","Toxin","7","7","1","1","534","","","","434","434","434","IABJFMEL_00812","FNKIIBCC_00070","KLCLGNMD_00596","LJFBHMDO_00842","FJKEEGCC_00572","LCKBFCAL_01135","GLGINFII_01135"
"group_2817","","hypothetical protein","7","7","1","1","520","","","","1652","1652","1652","IABJFMEL_00797","FNKIIBCC_00055","KLCLGNMD_00611","LJFBHMDO_00857","FJKEEGCC_00557","LCKBFCAL_01120","GLGINFII_01150"
"group_2818","","Ureidoglycolate lyase","7","7","1","1","503","","","","1934","1934","1934","IABJFMEL_00780","FNKIIBCC_00038","KLCLGNMD_00628","LJFBHMDO_00874","FJKEEGCC_00540","LCKBFCAL_01103","GLGINFII_01167"
"group_2819","","hypothetical protein","7","7","1","48","3","","","","173","173","173","IABJFMEL_03666","FNKIIBCC_03778","KLCLGNMD_03841","LJFBHMDO_03753","FJKEEGCC_03746","LCKBFCAL_03847","GLGINFII_03849"
"gloC_1","","Hydroxyacylglutathione hydrolase GloC","7","7","1","2","260","","","","635","635","635","IABJFMEL_00575","FNKIIBCC_00524","KLCLGNMD_00290","LJFBHMDO_01892","FJKEEGCC_01753","LCKBFCAL_00097","GLGINFII_00242"
"purB","","Adenylosuccinate lyase","7","7","1","21","21","","","","1418","1418","1418","IABJFMEL_01932","FNKIIBCC_02005","KLCLGNMD_02334","LJFBHMDO_02763","FJKEEGCC_02637","LCKBFCAL_02628","GLGINFII_02804"
"esxD","","ESAT-6-like protein EsxD","7","7","1","25","36","","","","323","323","323","IABJFMEL_01772","FNKIIBCC_02262","KLCLGNMD_02192","LJFBHMDO_02211","FJKEEGCC_02334","LCKBFCAL_02247","GLGINFII_02441"
"group_2823","","hypothetical protein","7","7","1","13","47","","","","713","713","713","IABJFMEL_00050","FNKIIBCC_00263","KLCLGNMD_00715","LJFBHMDO_00212","FJKEEGCC_00212","LCKBFCAL_00252","GLGINFII_00568"
"group_2824","","hypothetical protein","7","7","1","26","44","","","","683","683","683","IABJFMEL_02307","FNKIIBCC_02348","KLCLGNMD_02304","LJFBHMDO_02566","FJKEEGCC_01971","LCKBFCAL_02383","GLGINFII_02528"
"mutT2","","Putative 8-oxo-dGTP diphosphatase 2","7","7","1","1","254","","","","425","425","425","IABJFMEL_01537","FNKIIBCC_01515","KLCLGNMD_01901","LJFBHMDO_01719","FJKEEGCC_01549","LCKBFCAL_02208","GLGINFII_01365"
"bioB","","Biotin synthase","7","7","1","6","91","","","","1097","1097","1097","IABJFMEL_01055","FNKIIBCC_00899","KLCLGNMD_01327","LJFBHMDO_01195","FJKEEGCC_00916","LCKBFCAL_01251","GLGINFII_01908"
"crgA","","Cell division protein CrgA","7","7","1","11","13","","","","281","281","281","IABJFMEL_02614","FNKIIBCC_02542","KLCLGNMD_02901","LJFBHMDO_02717","FJKEEGCC_02670","LCKBFCAL_00980","GLGINFII_03092"
"pgsA1_1","","Putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferase 1","7","7","1","6","6","","","","629","629","629","IABJFMEL_03168","FNKIIBCC_03173","KLCLGNMD_03881","LJFBHMDO_03028","FJKEEGCC_03419","LCKBFCAL_03314","GLGINFII_02874"
"group_2829","","Maf-like protein","7","7","1","2","135","","","","668","668","668","IABJFMEL_00507","FNKIIBCC_01937","KLCLGNMD_01180","LJFBHMDO_03129","FJKEEGCC_02055","LCKBFCAL_01411","GLGINFII_01047"
"group_2830","","6-hydroxy-D-nicotine oxidase","7","7","1","15","32","","","","1385","1385","1385","IABJFMEL_01389","FNKIIBCC_01412","KLCLGNMD_02420","LJFBHMDO_01838","FJKEEGCC_02150","LCKBFCAL_01283","GLGINFII_01431"
"group_2831","","hypothetical protein","7","7","1","9","119","","","","314","314","314","IABJFMEL_03041","FNKIIBCC_03029","KLCLGNMD_03191","LJFBHMDO_01018","FJKEEGCC_01092","LCKBFCAL_03222","GLGINFII_03299"
"xerC_1","","Tyrosine recombinase XerC","7","7","1","2","305","","","","455","455","455","IABJFMEL_00622","FNKIIBCC_00571","KLCLGNMD_00338","LJFBHMDO_01939","FJKEEGCC_01705","LCKBFCAL_00049","GLGINFII_00290"
"group_2833","","Methylmalonyl-CoA carboxyltransferase 12S subunit","7","7","1","1","235","","","","1589","1589","1589","IABJFMEL_03274","FNKIIBCC_03287","KLCLGNMD_03362","LJFBHMDO_03244","FJKEEGCC_03263","LCKBFCAL_03495","GLGINFII_03479"
"group_2834","","hypothetical protein","7","7","1","53","5","","","","530","530","530","IABJFMEL_03980","FNKIIBCC_03998","KLCLGNMD_04004","LJFBHMDO_04007","FJKEEGCC_03993","LCKBFCAL_03992","GLGINFII_03984"
"group_2835","","hypothetical protein","7","7","1","39","8","","","","392","392","392","IABJFMEL_03975","FNKIIBCC_03957","KLCLGNMD_03981","LJFBHMDO_03972","FJKEEGCC_03960","LCKBFCAL_03971","GLGINFII_03581"
"group_2836","","hypothetical protein","7","7","1","33","10","","","","734","734","734","IABJFMEL_03799","FNKIIBCC_03828","KLCLGNMD_03901","LJFBHMDO_03798","FJKEEGCC_03789","LCKBFCAL_03911","GLGINFII_03693"
"tyrS","","Tyrosine--tRNA ligase","7","7","1","15","80","","","","1265","1265","1265","IABJFMEL_01431","FNKIIBCC_01370","KLCLGNMD_02462","LJFBHMDO_01796","FJKEEGCC_02108","LCKBFCAL_01325","GLGINFII_01389"
"amt","","Ammonia channel","7","7","1","9","17","","","","1433","1433","1433","IABJFMEL_02399","FNKIIBCC_02451","KLCLGNMD_02761","LJFBHMDO_00973","FJKEEGCC_01047","LCKBFCAL_02700","GLGINFII_02907"
"parE1","","Toxin ParE1","7","7","1","16","15","","","","296","296","296","IABJFMEL_03522","FNKIIBCC_03589","KLCLGNMD_03676","LJFBHMDO_03600","FJKEEGCC_03561","LCKBFCAL_01671","GLGINFII_01699"
"group_2840","","putative HTH-type transcriptional regulator","7","7","1","4","46","","","","770","770","770","IABJFMEL_02793","FNKIIBCC_00507","KLCLGNMD_00403","LJFBHMDO_00586","FJKEEGCC_00717","LCKBFCAL_00847","GLGINFII_00473"
"sigD","","ECF RNA polymerase sigma factor SigD","7","7","1","1","33","","","","575","575","575","IABJFMEL_03331","FNKIIBCC_03334","KLCLGNMD_03451","LJFBHMDO_03369","FJKEEGCC_03370","LCKBFCAL_02961","GLGINFII_03499"
"kdpA","","Potassium-transporting ATPase potassium-binding subunit","7","7","1","19","47","","","","1715","1715","1715","IABJFMEL_02175","FNKIIBCC_02324","KLCLGNMD_01607","LJFBHMDO_01314","FJKEEGCC_01173","LCKBFCAL_01760","GLGINFII_01895"
"PPE4_1","","PPE family protein PPE4","7","7","1","7","71","","","","233","233","233","IABJFMEL_00284","FNKIIBCC_00746","KLCLGNMD_00827","LJFBHMDO_00323","FJKEEGCC_00452","LCKBFCAL_00364","GLGINFII_00676"
"acsA","","Acetyl-coenzyme A synthetase","7","7","1","40","15","","","","1955","1955","1955","IABJFMEL_03370","FNKIIBCC_03383","KLCLGNMD_03284","LJFBHMDO_03406","FJKEEGCC_03220","LCKBFCAL_03390","GLGINFII_03392"
"ripB","","Peptidoglycan endopeptidase RipB","7","7","1","10","11","","","","725","725","725","IABJFMEL_00448","FNKIIBCC_00408","KLCLGNMD_01121","LJFBHMDO_01669","FJKEEGCC_01438","LCKBFCAL_00690","GLGINFII_00883"
"group_2846","","putative PPE family protein PPE51","7","7","1","17","27","","","","1220","1220","1220","IABJFMEL_01246","FNKIIBCC_01074","KLCLGNMD_01532","LJFBHMDO_03314","FJKEEGCC_03381","LCKBFCAL_01561","GLGINFII_01821"
"suaB","","Ferredoxin-1","7","7","1","21","35","","","","206","206","206","IABJFMEL_01918","FNKIIBCC_02019","KLCLGNMD_02348","LJFBHMDO_02749","FJKEEGCC_02623","LCKBFCAL_02642","GLGINFII_02790"
"hpnR","","Hopanoid C-3 methylase","7","7","1","1","92","","","","1316","1316","1316","IABJFMEL_00192","FNKIIBCC_00207","KLCLGNMD_00135","LJFBHMDO_00067","FJKEEGCC_00096","LCKBFCAL_00524","GLGINFII_00097"
"group_2849","","hypothetical protein","7","7","1","1","519","","","","1064","1064","1064","IABJFMEL_00796","FNKIIBCC_00054","KLCLGNMD_00612","LJFBHMDO_00858","FJKEEGCC_00556","LCKBFCAL_01119","GLGINFII_01151"
"ychF","","Ribosome-binding ATPase YchF","7","7","1","23","23","","","","1073","1073","1073","IABJFMEL_02120","FNKIIBCC_02235","KLCLGNMD_02572","LJFBHMDO_02518","FJKEEGCC_02302","LCKBFCAL_02588","GLGINFII_02752"
"group_2851","","hypothetical protein","7","7","1","37","22","","","","950","950","950","IABJFMEL_02721","FNKIIBCC_02653","KLCLGNMD_03038","LJFBHMDO_02943","FJKEEGCC_02821","LCKBFCAL_03099","GLGINFII_03198"
"hisG","","ATP phosphoribosyltransferase","7","7","1","42","8","","","","854","854","854","IABJFMEL_03351","FNKIIBCC_03698","KLCLGNMD_03496","LJFBHMDO_03387","FJKEEGCC_03456","LCKBFCAL_03554","GLGINFII_03594"
"group_2853","","hypothetical protein","7","7","1","11","14","","","","743","743","743","IABJFMEL_02615","FNKIIBCC_02543","KLCLGNMD_02900","LJFBHMDO_02718","FJKEEGCC_02671","LCKBFCAL_00979","GLGINFII_03091"
"coaD","","Phosphopantetheine adenylyltransferase","7","7","1","13","54","","","","485","485","485","IABJFMEL_00057","FNKIIBCC_00270","KLCLGNMD_00722","LJFBHMDO_00219","FJKEEGCC_00219","LCKBFCAL_00259","GLGINFII_00575"
"hsaA_1","","Flavin-dependent monooxygenase, oxygenase subunit HsaA","7","7","1","12","27","","","","1130","1130","1130","IABJFMEL_00695","FNKIIBCC_00642","KLCLGNMD_01401","LJFBHMDO_00778","FJKEEGCC_00806","LCKBFCAL_01018","GLGINFII_01278"
"group_2856","","Putative thiazole biosynthetic enzyme","7","7","1","1","548","","","","1607","1607","1607","IABJFMEL_00826","FNKIIBCC_00084","KLCLGNMD_00582","LJFBHMDO_00828","FJKEEGCC_00586","LCKBFCAL_01149","GLGINFII_01121"
"group_2857","","hypothetical protein","7","7","1","1","100","","","","548","548","548","IABJFMEL_00198","FNKIIBCC_02176","KLCLGNMD_00141","LJFBHMDO_00061","FJKEEGCC_00102","LCKBFCAL_00532","GLGINFII_00103"
"group_2858","","Putative NAD(P)H nitroreductase","7","7","1","20","42","","","","998","998","998","IABJFMEL_01590","FNKIIBCC_01678","KLCLGNMD_01955","LJFBHMDO_01774","FJKEEGCC_01639","LCKBFCAL_02011","GLGINFII_02214"
"group_2859","","hypothetical protein","7","7","1","16","69","","","","848","848","848","IABJFMEL_01656","FNKIIBCC_01775","KLCLGNMD_02131","LJFBHMDO_02075","FJKEEGCC_01848","LCKBFCAL_01700","GLGINFII_01728"
"clpC1_1","","ATP-dependent Clp protease ATP-binding subunit ClpC1","7","7","1","6","36","","","","2546","2546","2546","IABJFMEL_03569","FNKIIBCC_03616","KLCLGNMD_03723","LJFBHMDO_03647","FJKEEGCC_03590","LCKBFCAL_03744","GLGINFII_02893"
"group_2861","","hypothetical protein","7","7","1","10","45","","","","1298","1298","1298","IABJFMEL_00413","FNKIIBCC_00373","KLCLGNMD_01086","LJFBHMDO_01634","FJKEEGCC_01473","LCKBFCAL_00725","GLGINFII_00918"
"kefC","","Glutathione-regulated potassium-efflux system protein KefC","7","7","1","2","50","","","","1067","1067","1067","IABJFMEL_02258","FNKIIBCC_02429","KLCLGNMD_02615","LJFBHMDO_00473","FJKEEGCC_02389","LCKBFCAL_02678","GLGINFII_02848"
"eccD2","","ESX-2 secretion system protein eccD2","7","7","1","25","41","","","","1529","1529","1529","IABJFMEL_01768","FNKIIBCC_02258","KLCLGNMD_02188","LJFBHMDO_02215","FJKEEGCC_02330","LCKBFCAL_02251","GLGINFII_02437"
"group_2864","","hypothetical protein","7","7","1","2","271","","","","329","329","329","IABJFMEL_00586","FNKIIBCC_00535","KLCLGNMD_00301","LJFBHMDO_01903","FJKEEGCC_01742","LCKBFCAL_00086","GLGINFII_00253"
"menC","","o-succinylbenzoate synthase","7","7","1","24","22","","","","980","980","980","IABJFMEL_01979","FNKIIBCC_02109","KLCLGNMD_02396","LJFBHMDO_02440","FJKEEGCC_02183","LCKBFCAL_02422","GLGINFII_02592"
"group_2866","","DNA-binding protein","7","7","1","50","2","","","","440","440","440","IABJFMEL_03662","FNKIIBCC_03763","KLCLGNMD_03816","LJFBHMDO_03728","FJKEEGCC_03724","LCKBFCAL_03822","GLGINFII_03823"
"group_2867","","hypothetical protein","7","7","1","1","243","","","","1601","1601","1601","IABJFMEL_03282","FNKIIBCC_03279","KLCLGNMD_03354","LJFBHMDO_03252","FJKEEGCC_03255","LCKBFCAL_03503","GLGINFII_03487"
"mmpS3_2","","putative transport accessory protein MmpS3","7","7","1","2","62","","","","293","293","293","IABJFMEL_02246","FNKIIBCC_02441","KLCLGNMD_02603","LJFBHMDO_00461","FJKEEGCC_02377","LCKBFCAL_02690","GLGINFII_02860"
"group_2869","","hypothetical protein","7","7","1","5","88","","","","407","407","407","IABJFMEL_01059","FNKIIBCC_03489","KLCLGNMD_03566","LJFBHMDO_03490","FJKEEGCC_00261","LCKBFCAL_03681","GLGINFII_03704"
"group_2870","","HTH-type transcriptional regulator","7","7","1","31","23","","","","323","323","323","IABJFMEL_02662","FNKIIBCC_02619","KLCLGNMD_02975","LJFBHMDO_02833","FJKEEGCC_02755","LCKBFCAL_03030","GLGINFII_03121"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","7","7","1","33","15","","","","488","488","488","IABJFMEL_03794","FNKIIBCC_03823","KLCLGNMD_03906","LJFBHMDO_03793","FJKEEGCC_03794","LCKBFCAL_03916","GLGINFII_03688"
"embC","","putative arabinosyltransferase C","7","7","1","7","14","","","","3284","3284","3284","IABJFMEL_00345","FNKIIBCC_00807","KLCLGNMD_00766","LJFBHMDO_00262","FJKEEGCC_00513","LCKBFCAL_00303","GLGINFII_00615"
"group_2873","","Putative glutamate--cysteine ligase 2","7","7","1","4","87","","","","1151","1151","1151","IABJFMEL_00947","FNKIIBCC_00466","KLCLGNMD_00443","LJFBHMDO_00545","FJKEEGCC_00676","LCKBFCAL_00807","GLGINFII_00433"
"rsfB","","Anti-sigma-F factor antagonist RsfB","7","7","1","7","7","","","","368","368","368","IABJFMEL_00227","FNKIIBCC_02711","KLCLGNMD_00883","LJFBHMDO_00379","FJKEEGCC_00396","LCKBFCAL_00420","GLGINFII_00732"
"group_2875","","hypothetical protein","7","7","1","85","1","","","Investigate","491","491","491","IABJFMEL_04101","FNKIIBCC_04096","KLCLGNMD_04096","LJFBHMDO_04098","FJKEEGCC_04094","LCKBFCAL_04093","GLGINFII_04095"
"group_2876","","PE-PGRS family protein PE_PGRS16","7","7","1","6","150","","","","932","932","932","IABJFMEL_00996","FNKIIBCC_00959","KLCLGNMD_01267","LJFBHMDO_01254","FJKEEGCC_00976","LCKBFCAL_01192","GLGINFII_01968"
"group_2877","","hypothetical protein","7","7","1","10","12","","","","1133","1133","1133","IABJFMEL_00447","FNKIIBCC_00407","KLCLGNMD_01120","LJFBHMDO_01668","FJKEEGCC_01439","LCKBFCAL_00691","GLGINFII_00884"
"nagA","","N-acetylglucosamine-6-phosphate deacetylase","7","7","1","45","13","","","","1151","1151","1151","IABJFMEL_03437","FNKIIBCC_03428","KLCLGNMD_03557","LJFBHMDO_03451","FJKEEGCC_03494","LCKBFCAL_03660","GLGINFII_03673"
"group_2879","","hypothetical protein","7","7","1","14","76","","","","908","908","908","IABJFMEL_02526","FNKIIBCC_02573","KLCLGNMD_02921","LJFBHMDO_02813","FJKEEGCC_02701","LCKBFCAL_03002","GLGINFII_03035"
"trmB","","tRNA (guanine-N(7)-)-methyltransferase","7","7","1","1","86","","","","593","593","593","IABJFMEL_00187","FNKIIBCC_00202","KLCLGNMD_00129","LJFBHMDO_00072","FJKEEGCC_00091","LCKBFCAL_00518","GLGINFII_00091"
"group_2881","","Alpha-pyrone synthesis polyketide synthase-like Pks18","7","7","1","3","80","","","","1181","1181","1181","IABJFMEL_03462","FNKIIBCC_03399","KLCLGNMD_03218","LJFBHMDO_03437","FJKEEGCC_03096","LCKBFCAL_03591","GLGINFII_03426"
"group_2882","","Alpha-(1->6)-mannopyranosyltransferase","7","7","1","33","9","","","","1775","1775","1775","IABJFMEL_03800","FNKIIBCC_03829","KLCLGNMD_03900","LJFBHMDO_03799","FJKEEGCC_03788","LCKBFCAL_03910","GLGINFII_03694"
"eccA3","","ESX-3 secretion system protein EccA3","7","7","1","1","181","","","","1895","1895","1895","IABJFMEL_03848","FNKIIBCC_03362","KLCLGNMD_00552","LJFBHMDO_03331","FJKEEGCC_03354","LCKBFCAL_03546","GLGINFII_03541"
"group_2884","","hypothetical protein","7","7","1","4","98","","","","371","371","371","IABJFMEL_03776","FNKIIBCC_02806","KLCLGNMD_00528","LJFBHMDO_02616","FJKEEGCC_02465","LCKBFCAL_01590","GLGINFII_00348"
"rplA","","50S ribosomal protein L1","7","7","1","1","398","","","","707","707","707","IABJFMEL_02008","FNKIIBCC_01279","KLCLGNMD_00954","LJFBHMDO_01621","FJKEEGCC_01427","LCKBFCAL_00611","GLGINFII_00803"
"nuoN","","NADH-quinone oxidoreductase subunit N","7","7","1","20","23","","","","1595","1595","1595","IABJFMEL_01562","FNKIIBCC_01650","KLCLGNMD_01927","LJFBHMDO_01746","FJKEEGCC_01611","LCKBFCAL_02039","GLGINFII_02242"
"yhjD","","Inner membrane protein YhjD","7","7","1","45","17","","","","869","869","869","IABJFMEL_03433","FNKIIBCC_03424","KLCLGNMD_03553","LJFBHMDO_03447","FJKEEGCC_03490","LCKBFCAL_03656","GLGINFII_03677"
"group_2888","","(2Z,6E)-farnesyl diphosphate synthase","7","7","1","43","2","","","","788","788","788","IABJFMEL_04056","FNKIIBCC_04059","KLCLGNMD_03480","LJFBHMDO_04058","FJKEEGCC_03422","LCKBFCAL_04051","GLGINFII_03628"
"group_2889","","hypothetical protein","7","7","1","11","56","","","","761","761","761","IABJFMEL_03759","FNKIIBCC_03019","KLCLGNMD_01744","LJFBHMDO_03807","FJKEEGCC_03048","LCKBFCAL_00897","GLGINFII_02093"
"rph","","Ribonuclease PH","7","7","1","26","41","","","","779","779","779","IABJFMEL_02304","FNKIIBCC_02351","KLCLGNMD_02301","LJFBHMDO_02563","FJKEEGCC_01974","LCKBFCAL_02380","GLGINFII_02531"
"tesB_2","","Acyl-CoA thioesterase 2","7","7","1","41","16","","","","845","845","845","IABJFMEL_03709","FNKIIBCC_03309","KLCLGNMD_03422","LJFBHMDO_03349","FJKEEGCC_03307","LCKBFCAL_03521","GLGINFII_03528"
"group_2892","","hypothetical protein","7","7","1","24","15","","","","386","386","386","IABJFMEL_01986","FNKIIBCC_02102","KLCLGNMD_02403","LJFBHMDO_02447","FJKEEGCC_02190","LCKBFCAL_02429","GLGINFII_02599"
"group_2893","","hypothetical protein","7","7","1","16","4","","","","350","350","350","IABJFMEL_03511","FNKIIBCC_03578","KLCLGNMD_03665","LJFBHMDO_03589","FJKEEGCC_03572","LCKBFCAL_01660","GLGINFII_01688"
"group_2894","","hypothetical protein","7","7","1","80","1","","","Investigate","407","407","407","IABJFMEL_04102","FNKIIBCC_04101","KLCLGNMD_04114","LJFBHMDO_04100","FJKEEGCC_04096","LCKBFCAL_04107","GLGINFII_04111"
"group_2895","","hypothetical protein","7","7","1","70","1","","","Investigate","272","272","272","IABJFMEL_04108","FNKIIBCC_04107","KLCLGNMD_04108","LJFBHMDO_04086","FJKEEGCC_04104","LCKBFCAL_04086","GLGINFII_04089"
"group_2896","","hypothetical protein","7","7","1","31","5","","","","287","287","287","IABJFMEL_02644","FNKIIBCC_02637","KLCLGNMD_02957","LJFBHMDO_02851","FJKEEGCC_02737","LCKBFCAL_03012","GLGINFII_03139"
"cmr","","HTH-type transcriptional regulator Cmr","7","7","1","15","66","","","","734","734","734","IABJFMEL_01445","FNKIIBCC_01356","KLCLGNMD_03893","LJFBHMDO_01782","FJKEEGCC_03876","LCKBFCAL_01339","GLGINFII_01375"
